dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim
deeprecon,art_dropout-random_0.5_03,AM,23,0.6410256410256411,0.5897435897435898,0.9743589743589743,0.9487179487179487,0.9569461,0.4414348,0.5463013762344988,0.7100657587802186,0.8152484893798828
deeprecon,art_dropout-random_0.5_03,AM,24,0.6153846153846154,0.8717948717948718,1.0,1.0,0.94119596,0.58007133,0.2762055052563395,0.7660502028680144,0.8741178512573242
deeprecon,art_dropout-random_0.5_03,AM,25,0.5897435897435898,0.717948717948718,0.9487179487179487,1.0,1.0063906,0.56332314,0.4706281921693112,0.6342677553191325,0.6619676947593689
deeprecon,art_dropout-random_0.5_03,AM,26,0.3076923076923077,0.7948717948717948,1.0,0.9487179487179487,1.0046145,0.56943727,0.371639305289366,0.6598454104850413,0.7365108728408813
deeprecon,art_dropout-random_0.5_03,AM,27,0.5897435897435898,0.6153846153846154,0.8717948717948718,1.0,1.0309768,0.55719674,0.49742853517741825,0.679070441706934,0.8786522150039673
deeprecon,art_dropout-random_0.5_03,AM,28,0.46153846153846156,0.5897435897435898,0.9487179487179487,0.7692307692307693,0.92577255,0.7467866,-0.08975727399997163,0.04237979053287523,0.8542577028274536
deeprecon,art_dropout-random_0.5_03,AM,29,0.5128205128205128,0.8974358974358975,0.7435897435897436,0.48717948717948717,1.0191545,0.746169,-0.07674763219877608,0.06387763756402763,0.9401081800460815
deeprecon,art_dropout-random_0.5_03,AM,30,0.6923076923076923,0.5384615384615384,0.9487179487179487,1.0,1.0362905,0.7543957,0.0644202303216665,0.2442450243947663,0.8888359069824219
deeprecon,art_dropout-random_0.5_03,AM,31,0.6153846153846154,0.48717948717948717,0.6923076923076923,0.717948717948718,0.9988998,0.5077885,0.11008291425386553,0.7056640984368915,0.9035000801086426
deeprecon,art_dropout-random_0.5_03,AM,32,1.0,0.10256410256410256,1.0,1.0,0.98682386,0.6789981,0.28811639711284315,0.2402668709666804,0.8277865648269653
deeprecon,art_dropout-random_0.5_03,AM,33,0.41025641025641024,0.3333333333333333,1.0,1.0,0.9958232,0.5788719,0.22774530081932798,0.5799611143146809,0.8810988664627075
deeprecon,art_dropout-random_0.5_03,AM,34,0.7692307692307693,0.8205128205128205,0.8205128205128205,0.9230769230769231,1.0199921,0.47645742,0.5958601551480508,0.6943281551917394,0.8311652541160583
deeprecon,art_dropout-random_0.5_03,AM,35,0.07692307692307693,0.5384615384615384,0.41025641025641024,0.5897435897435898,1.0394827,0.6956605,0.03338688723244925,0.09124340543003395,0.8598598837852478
deeprecon,art_dropout-random_0.5_03,AM,36,0.28205128205128205,0.8974358974358975,0.6153846153846154,0.9487179487179487,0.96877855,0.62785345,-0.13118937774730804,0.2824244263960303,0.869682252407074
deeprecon,art_dropout-random_0.5_03,AM,37,0.8974358974358975,0.41025641025641024,0.8717948717948718,0.9230769230769231,0.9415724,0.52213174,0.17893769991162708,0.7060065845318402,0.82709801197052
deeprecon,art_dropout-random_0.5_03,AM,38,0.10256410256410256,0.07692307692307693,0.9743589743589743,0.8717948717948718,0.9910021,0.754787,0.16610198713291108,0.128006676744823,0.8235988020896912
deeprecon,art_dropout-random_0.5_03,AM,39,0.7692307692307693,0.9743589743589743,0.9487179487179487,0.4358974358974359,1.026308,0.72353107,-0.184075252502346,0.2937624292936494,0.8479164838790894
deeprecon,art_dropout-random_0.5_03,AM,40,0.15384615384615385,0.8205128205128205,1.0,0.7435897435897436,0.9821457,0.72662914,0.04009761876064604,0.11233110886721498,0.8815078735351562
