,ft_name,profile_corr,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,70-30,500
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,70-30,500
3,clipvision_final,0.0539321895742597,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,70-30,500
4,clipvision_patches,0.041825677833351,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,70-30,500
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,50-50,500
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,50-50,500
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,50-50,500
3,clipvision_final,0.1480736237170063,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,50-50,500
4,clipvision_patches,0.0688564007116424,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,50-50,500
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,50-50,500
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,50-50,500
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,50-50,500
3,clipvision_final,0.0453679623538362,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,50-50,500
4,clipvision_patches,0.0430523242726078,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,50-50,500
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,50-50,500
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,50-50,500
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,50-50,500
3,clipvision_final,0.1663967492386091,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,50-50,500
4,clipvision_patches,0.0697608995032999,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,50-50,500
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,50-50,500
