,dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim,clip_dist,dataset,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
36,deeprecon,test_ic_friendly_80-20_500_5,ES,37,0.6122448979591837,0.8775510204081632,1.0,1.0,0.92715985,0.3434434,0.5552816931748504,0.7671030577031258,0.7855231761932373,0.4011881351470947,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
37,deeprecon,test_ic_friendly_80-20_500_5,ES,38,0.7755102040816326,0.9183673469387756,0.9591836734693876,1.0,0.95066726,0.48738062,0.1728168591414057,0.3969995610691301,0.583946168422699,0.4325834512710571,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
38,deeprecon,test_ic_friendly_80-20_500_5,ES,39,0.2448979591836734,0.8775510204081632,0.9591836734693876,0.979591836734694,0.8923373,0.60244834,0.1113054137001882,0.4066035359720973,0.7288130521774292,0.4986128211021423,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
39,deeprecon,test_ic_friendly_80-20_500_5,ES,40,0.979591836734694,0.7959183673469388,1.0,1.0,0.8283165,0.72028124,-0.4072349208743309,0.0642957339917889,0.6621414422988892,0.5523576736450195,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
40,deeprecon,test_ic_friendly_80-20_500_5,ES,41,0.9591836734693876,1.0,0.8775510204081632,1.0,0.9556248,0.5549294,0.0847505815082621,0.463791566372781,0.6981211304664612,0.3326136469841003,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
41,deeprecon,test_ic_friendly_80-20_500_5,ES,42,0.979591836734694,0.3061224489795918,0.979591836734694,0.8979591836734694,0.97551215,0.6188896,0.5029083070133153,0.2282768141682571,0.7839555740356445,0.572050929069519,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
42,deeprecon,test_ic_friendly_80-20_500_5,ES,43,1.0,0.7551020408163265,0.9183673469387756,0.979591836734694,0.91665184,0.5380243,-0.0631189923602043,0.1085839913856573,0.609868049621582,0.4457659721374511,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
43,deeprecon,test_ic_friendly_80-20_500_5,ES,44,0.3877551020408163,1.0,0.9387755102040816,0.9387755102040816,0.980784,0.45837122,0.1837540459806471,0.3854484898764327,0.6632654666900635,0.3553694486618042,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
44,deeprecon,test_ic_friendly_80-20_500_5,ES,45,0.979591836734694,0.6530612244897959,1.0,0.9591836734693876,0.82652736,0.55489135,0.554749704387898,0.3305872136999028,0.6920791864395142,0.4344528913497925,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
45,deeprecon,test_ic_friendly_80-20_500_5,ES,46,0.6122448979591837,0.6122448979591837,1.0,0.979591836734694,0.98505056,0.52905023,0.0725668834303733,0.3147249764729157,0.6626933217048645,0.6379258036613464,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
46,deeprecon,test_ic_friendly_80-20_500_5,ES,47,0.8163265306122449,0.979591836734694,0.9387755102040816,1.0,0.89307415,0.50674796,0.1275185638891686,0.1153235693547117,0.712455153465271,0.4258309602737427,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
47,deeprecon,test_ic_friendly_80-20_500_5,ES,48,0.8571428571428571,0.9387755102040816,0.979591836734694,1.0,0.94433385,0.5068267,0.3567290048434583,0.6563627930826705,0.740605354309082,0.3976127505302429,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
48,deeprecon,test_ic_friendly_80-20_500_5,ES,49,0.7959183673469388,0.8775510204081632,0.979591836734694,1.0,0.898721,0.549579,0.2025510665341018,0.3928237857260629,0.7476261854171753,0.4181394577026367,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
49,deeprecon,test_ic_friendly_80-20_500_5,ES,50,0.9591836734693876,0.979591836734694,1.0,1.0,0.83619136,0.51314294,0.3053713883247377,0.2205340253834452,0.7047210931777954,0.4189503192901611,deeprecon,test,brain_diffuser,ic,friendly,,5,80-20,500
0,deeprecon,art_ic_friendly_80-20_500_5,ES,1,0.7692307692307693,0.4102564102564102,0.9487179487179488,0.8717948717948718,1.004841,0.6905525,0.382210802892179,0.4847099274687779,0.8954535126686096,0.5014264583587646,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
1,deeprecon,art_ic_friendly_80-20_500_5,ES,2,0.282051282051282,0.1794871794871795,0.5128205128205128,0.4871794871794871,0.9541158,0.72880304,0.0009585708779247,0.0984393770461979,0.9258014559745787,0.5391113758087158,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
2,deeprecon,art_ic_friendly_80-20_500_5,ES,3,0.9743589743589745,0.8205128205128205,0.8974358974358975,0.8974358974358975,1.0156394,0.68402946,0.0590290017042451,0.2786519784233038,0.8937963247299194,0.3815914392471313,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
3,deeprecon,art_ic_friendly_80-20_500_5,ES,4,0.8974358974358975,0.7435897435897436,0.9743589743589745,0.2564102564102564,0.97031116,0.5017687,0.2249280055180812,0.4881389645492699,0.9800775051116944,0.454365611076355,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
4,deeprecon,art_ic_friendly_80-20_500_5,ES,5,0.4358974358974359,0.2307692307692307,0.6666666666666666,0.6410256410256411,1.0244809,0.7321162,-0.0953391509996378,0.1288207199665508,0.8476417064666748,0.5883336067199707,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
5,deeprecon,art_ic_friendly_80-20_500_5,ES,6,0.4615384615384615,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.99929225,0.7771316,0.1017531693278578,0.0776590435485424,0.87714022397995,0.4813224077224731,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
6,deeprecon,art_ic_friendly_80-20_500_5,ES,7,0.9487179487179488,0.8461538461538461,0.5641025641025641,0.6153846153846154,0.9896412,0.7166867,0.2423483366290388,0.2625835236586636,0.9292367696762084,0.3780540227890014,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
7,deeprecon,art_ic_friendly_80-20_500_5,ES,8,0.8461538461538461,0.0,0.8974358974358975,0.9487179487179488,1.0121713,0.65160483,0.5368545671511855,0.4754296783022647,0.8161376714706421,0.4802708029747009,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
8,deeprecon,art_ic_friendly_80-20_500_5,ES,9,0.1538461538461538,0.7692307692307693,1.0,0.5897435897435898,0.9966679,0.7350824,-0.2278661919621216,0.1637117924625853,0.9242179989814758,0.4072504639625549,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
9,deeprecon,art_ic_friendly_80-20_500_5,ES,10,0.7435897435897436,0.5384615384615384,0.6410256410256411,0.282051282051282,0.9743925,0.481187,0.2271689544406397,0.4680612232201776,0.8668307065963745,0.4747703075408935,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
10,deeprecon,art_ic_friendly_80-20_500_5,ES,11,0.4102564102564102,0.6923076923076923,0.8717948717948718,0.7435897435897436,0.9143507,0.5125333,0.0547737468402771,0.6186832657677648,0.831186056137085,0.4955262541770935,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
11,deeprecon,art_ic_friendly_80-20_500_5,ES,12,0.8205128205128205,0.5384615384615384,0.9487179487179488,0.8974358974358975,0.92516106,0.5542603,0.1478065840461412,0.6534515452747783,0.7610554695129395,0.461454689502716,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
12,deeprecon,art_ic_friendly_80-20_500_5,ES,13,0.717948717948718,0.358974358974359,0.7692307692307693,1.0,0.9959489,0.72511274,0.2518496390753159,0.1249356999547615,0.7819008827209473,0.459105908870697,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
13,deeprecon,art_ic_friendly_80-20_500_5,ES,14,0.2051282051282051,0.9487179487179488,0.9487179487179488,0.6923076923076923,0.9280327,0.57130456,-0.1692676513872311,0.7807806788162112,0.9253408312797546,0.3251137733459472,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
14,deeprecon,art_ic_friendly_80-20_500_5,ES,15,0.3333333333333333,0.9487179487179488,0.9230769230769232,0.6666666666666666,1.0023237,0.66304773,-0.2492594341803716,0.3250862180071183,0.882800817489624,0.4140639305114746,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
15,deeprecon,art_ic_friendly_80-20_500_5,ES,16,0.1282051282051282,0.5128205128205128,1.0,0.7435897435897436,0.9164613,0.46015316,0.3860014132734957,0.6696541378353795,0.8904538750648499,0.4098461270332336,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
16,deeprecon,art_ic_friendly_80-20_500_5,ES,17,0.5641025641025641,0.6153846153846154,0.9743589743589745,0.9743589743589745,1.0492342,0.72924924,0.3258867824360409,0.1338707160144994,0.8146799206733704,0.3878448009490967,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
17,deeprecon,art_ic_friendly_80-20_500_5,ES,18,0.4871794871794871,0.5897435897435898,0.7948717948717948,0.7692307692307693,1.0131594,0.78232265,-0.2059901387639456,0.1521876090442073,0.8932732343673706,0.4981870651245117,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
18,deeprecon,art_ic_friendly_80-20_500_5,ES,19,0.7692307692307693,0.282051282051282,1.0,0.4871794871794871,1.0180928,0.64975274,0.1026240656398789,0.324523351792908,0.8387786149978638,0.4073190689086914,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
19,deeprecon,art_ic_friendly_80-20_500_5,ES,20,0.5641025641025641,0.5897435897435898,0.9487179487179488,0.9743589743589745,1.040468,0.52209985,0.3689660886908323,0.5152840507395191,0.9037561416625975,0.4725849628448486,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
20,deeprecon,art_ic_friendly_80-20_500_5,ES,21,0.6410256410256411,0.1538461538461538,0.717948717948718,0.8205128205128205,0.98597264,0.5561691,0.3578669085388677,0.6437595054016358,0.8681948184967041,0.4347711205482483,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
21,deeprecon,art_ic_friendly_80-20_500_5,ES,22,0.6410256410256411,0.4102564102564102,0.9743589743589745,0.9487179487179488,1.025841,0.5978902,0.1618824494645407,0.4759795523416127,0.7968944907188416,0.4265546202659607,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
22,deeprecon,art_ic_friendly_80-20_500_5,ES,23,0.6410256410256411,0.7692307692307693,1.0,1.0,0.9403977,0.47190547,0.3012521294130764,0.6473472075647166,0.8914099335670471,0.3909151554107666,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
23,deeprecon,art_ic_friendly_80-20_500_5,ES,24,0.8717948717948718,0.9743589743589745,1.0,0.9487179487179488,1.0475837,0.52135336,0.0071272672483521,0.756203394617606,0.8244761228561401,0.4088095426559448,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
24,deeprecon,art_ic_friendly_80-20_500_5,ES,25,0.7692307692307693,0.2307692307692307,0.9743589743589745,1.0,1.0305312,0.5879663,0.4548342246797087,0.5089647302474319,0.7751768231391907,0.4739000797271728,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
25,deeprecon,art_ic_friendly_80-20_500_5,ES,26,0.5641025641025641,0.8461538461538461,1.0,1.0,0.9894432,0.5886881,0.171352947843875,0.4178009966893676,0.8392261266708374,0.4880561232566833,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
26,deeprecon,art_ic_friendly_80-20_500_5,ES,27,1.0,0.4358974358974359,0.7692307692307693,0.4871794871794871,0.9513035,0.47339135,0.3349680611940832,0.5317913598465389,0.9048806428909302,0.4843739867210388,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
27,deeprecon,art_ic_friendly_80-20_500_5,ES,28,0.8205128205128205,0.4871794871794871,0.6666666666666666,0.5641025641025641,0.98909324,0.74161696,-0.0032614351683969,0.1441119481425113,0.9361920356750488,0.4472248554229736,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
28,deeprecon,art_ic_friendly_80-20_500_5,ES,29,0.7435897435897436,0.5128205128205128,0.8717948717948718,0.9743589743589745,0.9814141,0.7043381,-0.1294278441377848,0.2230325101817822,0.9038915634155272,0.4307312369346618,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
29,deeprecon,art_ic_friendly_80-20_500_5,ES,30,0.3076923076923077,0.6923076923076923,0.8205128205128205,0.8205128205128205,0.9866564,0.6944107,0.0818297991438721,0.3674965755624428,0.8849983215332031,0.4652296900749206,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
