ft_name,profile_corr,dropout_algorithm,dropout_ratio,dropout_trial,dataset,sub,test_dataset,algorithm
clipvision_patches,0.0377352765469443,dropout-random,0.25,2,deeprecon,AM,art,brain_diffuser
vdvae,0.0008245213378066,dropout-random,0.5,2,deeprecon,AM,test,brain_diffuser
cliptext_final,0.211217613245745,dropout-random,0.5,2,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2073843129748996,dropout-random,0.5,2,deeprecon,AM,test,brain_diffuser
clipvision_final,0.181382754214293,dropout-random,0.5,2,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0655407834644486,dropout-random,0.5,2,deeprecon,AM,test,brain_diffuser
vdvae,0.0007738122911735,dropout-random,0.5,2,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0360142207566078,dropout-random,0.5,2,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0631502408030432,dropout-random,0.5,2,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0460223509480627,dropout-random,0.5,2,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.047297264417676,dropout-random,0.5,2,deeprecon,AM,art,brain_diffuser
vdvae,0.0010005407381268,dropout-random,0.75,2,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2232826004340069,dropout-random,0.75,2,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.220398292904296,dropout-random,0.75,2,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1940359717165948,dropout-random,0.75,2,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.073704330231371,dropout-random,0.75,2,deeprecon,AM,test,brain_diffuser
vdvae,-0.000189304703916,dropout-random,0.75,2,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0525514060005442,dropout-random,0.75,2,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0760590202291772,dropout-random,0.75,2,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0512596285097724,dropout-random,0.75,2,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.048559870327339,dropout-random,0.75,2,deeprecon,AM,art,brain_diffuser
vdvae,0.0004252974646486,dropout-random,0.1,3,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1250012469765009,dropout-random,0.1,3,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1189263338384346,dropout-random,0.1,3,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1233110852644548,dropout-random,0.1,3,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0350254105126104,dropout-random,0.1,3,deeprecon,AM,test,brain_diffuser
vdvae,0.0003651354693479,dropout-random,0.1,3,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0231482857387846,dropout-random,0.1,3,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0313866038397091,dropout-random,0.1,3,deeprecon,AM,art,brain_diffuser
clipvision_final,0.028122825370546,dropout-random,0.1,3,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0235209517712448,dropout-random,0.1,3,deeprecon,AM,art,brain_diffuser
vdvae,0.000844545268698,dropout-random,0.25,3,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1780984837945878,dropout-random,0.25,3,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1714603569592107,dropout-random,0.25,3,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1588962818622188,dropout-random,0.25,3,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0501695838238833,dropout-random,0.25,3,deeprecon,AM,test,brain_diffuser
vdvae,0.000521538062826,dropout-random,0.25,3,deeprecon,AM,art,brain_diffuser
cliptext_final,0.036809392663568,dropout-random,0.25,3,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0548035631160274,dropout-random,0.25,3,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0482109030348993,dropout-random,0.25,3,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0327697227649701,dropout-random,0.25,3,deeprecon,AM,art,brain_diffuser
vdvae,0.0020339639335556,dropout-random,0.5,3,deeprecon,AM,test,brain_diffuser
cliptext_final,0.203281121353194,dropout-random,0.5,3,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.202985101465969,dropout-random,0.5,3,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1809090564604418,dropout-random,0.5,3,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0662067453845925,dropout-random,0.5,3,deeprecon,AM,test,brain_diffuser
vdvae,0.0014603376854347,dropout-random,0.5,3,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0381011324991973,dropout-random,0.5,3,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0585525191311013,dropout-random,0.5,3,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0295595056758561,dropout-random,0.5,3,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0422878167403825,dropout-random,0.5,3,deeprecon,AM,art,brain_diffuser
vdvae,0.0007447410291533,dropout-random,0.75,3,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2234574562877779,dropout-random,0.75,3,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2209774905392013,dropout-random,0.75,3,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1963688021788779,dropout-random,0.75,3,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0732453102291582,dropout-random,0.75,3,deeprecon,AM,test,brain_diffuser
vdvae,0.0009754592546501,dropout-random,0.75,3,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0429576039274849,dropout-random,0.75,3,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0659418678677751,dropout-random,0.75,3,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0476226772728438,dropout-random,0.75,3,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.049497190692451,dropout-random,0.75,3,deeprecon,AM,art,brain_diffuser
vdvae,0.0001278082117963,dropout-random,0.1,4,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1445540129600624,dropout-random,0.1,4,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1422896992492545,dropout-random,0.1,4,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1287801020006569,dropout-random,0.1,4,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0348674832616899,dropout-random,0.1,4,deeprecon,AM,test,brain_diffuser
vdvae,0.0011788533113902,dropout-random,0.1,4,deeprecon,AM,art,brain_diffuser
cliptext_final,0.004230918555485,dropout-random,0.1,4,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0211286778842937,dropout-random,0.1,4,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0208893133252861,dropout-random,0.1,4,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0214766004483453,dropout-random,0.1,4,deeprecon,AM,art,brain_diffuser
vdvae,0.0003557844400915,dropout-random,0.25,4,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1744648711346769,dropout-random,0.25,4,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.171597206337939,dropout-random,0.25,4,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1550723013263132,dropout-random,0.25,4,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.050982249597837,dropout-random,0.25,4,deeprecon,AM,test,brain_diffuser
vdvae,0.0004655381254472,dropout-random,0.25,4,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0047853360511516,dropout-random,0.25,4,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0211408880965564,dropout-random,0.25,4,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0253348896601439,dropout-random,0.25,4,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0357738743937639,dropout-random,0.25,4,deeprecon,AM,art,brain_diffuser
vdvae,0.0012361709011562,dropout-random,0.5,4,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2110161455672308,dropout-random,0.5,4,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2063876747811988,dropout-random,0.5,4,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1810321998145019,dropout-random,0.5,4,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0620957375213093,dropout-random,0.5,4,deeprecon,AM,test,brain_diffuser
vdvae,0.0015380834110918,dropout-random,0.5,4,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0229509232492548,dropout-random,0.5,4,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0450136949433772,dropout-random,0.5,4,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0333577678634351,dropout-random,0.5,4,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0435017742570775,dropout-random,0.5,4,deeprecon,AM,art,brain_diffuser
vdvae,0.0014410062131905,dropout-random,0.75,4,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2237855098131646,dropout-random,0.75,4,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2211759481089989,dropout-random,0.75,4,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1988720972309272,dropout-random,0.75,4,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0723609373441396,dropout-random,0.75,4,deeprecon,AM,test,brain_diffuser
vdvae,0.0006875266502434,dropout-random,0.75,4,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0422153734090006,dropout-random,0.75,4,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0645869224092219,dropout-random,0.75,4,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0399665232323872,dropout-random,0.75,4,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0482981768205228,dropout-random,0.75,4,deeprecon,AM,art,brain_diffuser
vdvae,-0.0001365281960508,dropout-dreamsim,0.1,11,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1345601327565649,dropout-dreamsim,0.1,11,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1356700887972887,dropout-dreamsim,0.1,11,deeprecon,AM,test,brain_diffuser
clipvision_final,0.0990256989955624,dropout-dreamsim,0.1,11,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0330490800216109,dropout-dreamsim,0.1,11,deeprecon,AM,test,brain_diffuser
vdvae,0.000697018546329,dropout-dreamsim,0.1,11,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0043369572073495,dropout-dreamsim,0.1,11,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0177318549258721,dropout-dreamsim,0.1,11,deeprecon,AM,art,brain_diffuser
clipvision_final,0.042431559569792,dropout-dreamsim,0.1,11,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0226662228135213,dropout-dreamsim,0.1,11,deeprecon,AM,art,brain_diffuser
vdvae,-8.067058833653831e-05,dropout-clipvision,0.1,33,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1183712700865943,dropout-clipvision,0.1,33,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.118958488068718,dropout-clipvision,0.1,33,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1119950503535806,dropout-clipvision,0.1,33,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.031203736223638,dropout-clipvision,0.1,33,deeprecon,AM,test,brain_diffuser
vdvae,0.0007677074173579,dropout-clipvision,0.1,33,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0027570892385752,dropout-clipvision,0.1,33,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0136927708826718,dropout-clipvision,0.1,33,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0304223780044479,dropout-clipvision,0.1,33,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.029000580675927,dropout-clipvision,0.1,33,deeprecon,AM,art,brain_diffuser
vdvae,-1.89485194444042e-05,dropout-random,0.1,22,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1345916623816488,dropout-random,0.1,22,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1285320173671214,dropout-random,0.1,22,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1074221698118797,dropout-random,0.1,22,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.031279602076015,dropout-random,0.1,22,deeprecon,AM,test,brain_diffuser
vdvae,0.0011441788831092,dropout-random,0.1,22,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0149250248827335,dropout-random,0.1,22,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0227324938020648,dropout-random,0.1,22,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0314991312060721,dropout-random,0.1,22,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0237960074052303,dropout-random,0.1,22,deeprecon,AM,art,brain_diffuser
vdvae,0.0007895319806575,dropout-pixels,0.1,44,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1449802347874915,dropout-pixels,0.1,44,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1422000445074071,dropout-pixels,0.1,44,deeprecon,AM,test,brain_diffuser
clipvision_final,0.122572499064365,dropout-pixels,0.1,44,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0341750001816875,dropout-pixels,0.1,44,deeprecon,AM,test,brain_diffuser
vdvae,0.0010149007050141,dropout-pixels,0.1,44,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0185324391112532,dropout-pixels,0.1,44,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0272188559263709,dropout-pixels,0.1,44,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0191979631778984,dropout-pixels,0.1,44,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0192954471347649,dropout-pixels,0.1,44,deeprecon,AM,art,brain_diffuser
vdvae,-0.0002984842831019,dropout-dreamsim,0.25,55,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1892083015831883,dropout-dreamsim,0.25,55,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1844359766751354,dropout-dreamsim,0.25,55,deeprecon,AM,test,brain_diffuser
